member_casual,month,ride_count
casual,April,105260
casual,August,323533
casual,December,27088
casual,February,27003
casual,January,23881
casual,July,308446
casual,June,278702
casual,March,82864
casual,May,175655
casual,November,94719
casual,October,214380
casual,September,254727
member,April,257921
member,August,443130
member,December,109371
member,February,122097
member,January,109864
member,July,430394
member,June,379523
member,March,208458
member,May,313996
member,November,251924
member,October,414094
member,September,440954
